;Czech;Slovak;Polish;Russian;Ukrainian;Bulgarian;Croatian;Serbian;Slovenian;Church Slavonic;Latvian;English;German;Gothic;Dutch;Afrikaans;Norwegian Bokmaal;Norwegian Nynorsk;Swedish;Danish;Spanish;Catalan;Galician;French;Portuguese;Brasil;Italian;Romanian;Latin;Finnish;Estonian;Hungarian;Greek;Ancient Greek;Hebrew;Arabic;Hindi;Urdu;Persian;Japanese;Chinese;Korean;Indonesian;Vietnamese;Basque;Turkish
Spanish;0.778325536907485;0.588195857955725;0.935271286209277;0.59654282887953;0.677776456291292;0.67747879826659;0.452664550758265;0.346350013549735;0.560415036892125;0.355244447946203;0.544209321531516;0.517019500749855;0.505442621815694;0.339782533658798;0.499715641699687;0.370866844793022;0.517421984213536;0.621185880134799;0.513925812647983;0.54956888304271;1;0.975070600752849;0.217573860264948;0.887510803981134;0.400993626343861;0.398617446947129;0.710090217792506;0.758566311795797;0.692194421241422;0.475113821603502;0.568237249443068;0.146273399337544;0.628102802220714;0.446921284534322;0.125020138014942;0.0440948153220967;-0.00273727925448064;0.074887474299785;0.306234948555448;-0.032210518478016;0.172114426275628;0.138628383940649;0.329509050665617;0.191089941816433;0.588449037910278;0.560007865683638
Catalan;0.850318334804814;0.674824337970803;0.921846802393373;0.690373113831267;0.763442451773163;0.77205347803081;0.541435527158597;0.429920842024158;0.656015157877394;0.396497460724901;0.652176777182154;0.581086199734673;0.597054384703017;0.371306121412691;0.598391696890094;0.437575146055574;0.598293264073513;0.701867066754807;0.595585259779414;0.625124581429577;0.975070600752849;1;0.181208410495569;0.838376541333405;0.369544009279148;0.339518931651896;0.67221814949633;0.767644588767743;0.702525931237306;0.561158204264802;0.667143910402343;0.212280017242877;0.721315474081795;0.506574719949164;0.138641726403828;0.0216665167815695;0.0172340770664084;0.0659825513709961;0.26975912931609;-0.0317265222740555;0.206079669112164;0.105171234472174;0.318758789074303;0.191653273734853;0.645609182047637;0.629527768308046
Galician;0.0583586584831076;0.0130657055923619;0.122273760169864;0.0436627560702829;0.0557504424548577;0.0275305832500817;0.00624719287272123;-0.00365967864576995;0.0153663840145318;0.0459628144517583;0.0309235364147772;0.00215954659053607;0.0399151166918854;0.014063533896813;0.00655613437919844;-0.0146781639438612;0.00564850747484663;0.0311305308843886;0.0166750852133585;0.0250690247187989;0.217573860264948;0.181208410495569;1;0.45866586746076;0.920173124432038;0.847891590445796;0.804571748915126;0.1868856230313;0.0598341926617438;0.023798690885592;0.100702806567376;-0.034100220632508;0.177622128181838;0.0492774165964261;0.386613909094659;0.535744546741882;-0.0597185414461812;0.145411259778808;0.0269547225406999;-0.033957026154479;-0.0445731387713981;-0.00111109840403464;0.339808028775677;-0.0109650399378933;0.0667641118082983;0.0450411985892469
French;0.618798707433526;0.428513076139623;0.754501986813991;0.418130506181207;0.511425819434369;0.524364206371114;0.281842443743908;0.177050205792785;0.435213118776305;0.260571206911557;0.376441314431872;0.602261498685043;0.424370869787095;0.250968133624801;0.406920881020532;0.317273871233437;0.473103592626307;0.512024141073168;0.574527923429192;0.589885998403297;0.887510803981134;0.838376541333405;0.45866586746076;1;0.654346142142736;0.625296850930314;0.855499930119515;0.765038952536953;0.553574557990833;0.471955079156884;0.529919050473431;0.00349950958484044;0.590283417540686;0.344401759687525;0.186396132493913;0.168389642944994;-0.0229321951658566;0.120165735396982;0.266012721831123;-0.035233087927854;0.0867743803382879;0.207378052190542;0.433288440786996;0.158046953778369;0.491085714571408;0.456794853819872
Portuguese;0.221580317169355;0.145570748110889;0.26386118626161;0.152586379958876;0.191292147194586;0.195951880289229;0.0801853050890808;0.047845636917559;0.14443136879877;0.122926515406476;0.142216173438739;0.264455147772708;0.175023155496499;0.0898590907943946;0.133922556038962;0.0796611243373444;0.188309568154846;0.205646110268006;0.258778551456386;0.265439069570321;0.400993626343861;0.369544009279148;0.920173124432038;0.654346142142736;1;0.947018604561062;0.903037522940202;0.374119424275926;0.189041138760818;0.212015541785061;0.278978181967662;-0.01146739746151;0.375626537216922;0.145984085260493;0.413179528263479;0.498577041757604;-0.058094192750787;0.157759977277954;0.0754796307485939;-0.0422330958191201;-0.0220119513259861;0.070494046007897;0.38171466184654;0.010223889860054;0.194770793727518;0.190451274240648
Brasil;0.162747124828211;0.0847725628252772;0.266446113098281;0.0602857375764292;0.108123024146455;0.129594499730002;0.00356687631269965;-0.0128971787937778;0.0508552337635192;0.0889498214840002;0.076664994920295;0.239319477293751;0.0927555383506333;0.0591019895474134;0.0428955788173115;-0.00853679948709496;0.154853335033403;0.185761934092838;0.20757599580324;0.21103407964152;0.398617446947129;0.339518931651896;0.847891590445796;0.625296850930314;0.947018604561062;1;0.852089516634287;0.34468887243931;0.156287658483837;0.230945311967603;0.211574294655356;-0.0206138545290765;0.31547356514113;0.119452392307562;0.377322422952175;0.482481017552924;-0.0403849916487842;0.232160931626503;0.169414598794865;-0.0432481552112649;-0.0628849699540967;0.0987006079610993;0.313350914705567;-0.0178985652596938;0.146771785393913;0.113732335645637
Italian;0.49277660731607;0.347221850979494;0.593256365514278;0.360824020163339;0.417606502565116;0.425757771791104;0.251825143286349;0.186588188587963;0.33029100515068;0.243646351311705;0.32805008372391;0.370213165993453;0.327410806601344;0.207048961486783;0.297613110172687;0.202566016330716;0.343433219530115;0.406006442630979;0.369295954694503;0.383534603231151;0.710090217792506;0.67221814949633;0.804571748915126;0.855499930119515;0.903037522940202;0.852089516634287;1;0.61631171290063;0.446776729048862;0.333835105532093;0.428609309623962;0.0749535993851323;0.518375244321017;0.308082442984736;0.357675813528145;0.407988982592632;-0.0262380715035726;0.175528968832874;0.203015310765961;-0.0449182908305782;0.0363109690316579;0.153418148511829;0.45860117013769;0.0915413771807311;0.407443329429796;0.372413791816399
Romanian;0.778595013134487;0.642590496390913;0.677199860129684;0.643867334136177;0.678674782271009;0.728595987441269;0.462371440931386;0.346424522007376;0.615164239176116;0.414721858964758;0.597147655206282;0.647448729578013;0.553903556735088;0.373296232245177;0.55312835391854;0.391514034983266;0.563107341568021;0.607953489887551;0.652825411057523;0.627872917057834;0.758566311795797;0.767644588767743;0.1868856230313;0.765038952536953;0.374119424275926;0.34468887243931;0.61631171290063;1;0.62556665367858;0.58976655958629;0.650759225684047;0.13255829187654;0.713572836031277;0.520317869411145;0.125527041646307;-0.0185062817135515;0.0231700663750212;0.117716028716412;0.254406806088386;-0.0362046117731901;0.168658603066265;0.406974509550643;0.719121997270071;0.215501243659106;0.736371028272256;0.537190963255885
Latin;0.718823474360669;0.592285409440959;0.687621312143373;0.686392410253686;0.728023146922958;0.671330878472079;0.531109726957049;0.355654220462798;0.628094833987113;0.702438666205205;0.681136472730539;0.436177310117277;0.589305137340999;0.717363101432285;0.625021016670744;0.535486721788959;0.47859352773512;0.533016421112987;0.426511388833101;0.417056726420978;0.692194421241422;0.702525931237306;0.0598341926617438;0.553574557990833;0.189041138760818;0.156287658483837;0.446776729048862;0.62556665367858;1;0.526595390493193;0.603929713542298;0.318225259668683;0.521970015032107;0.805528826494529;0.0111920465716737;-0.0425136228306239;0.229614998945709;0.300823468156302;0.307149784134896;-0.0476728172452416;0.357804760990727;0.0283634524872046;0.360002763598981;0.249420295217496;0.751023574815878;0.554178525616553
Finnish;0.713420225884207;0.653228419408894;0.439634241088215;0.662379104096307;0.723306915560984;0.704437161140991;0.496157394714576;0.349219271388775;0.721097889718924;0.301912535415228;0.759187342109504;0.819532506964302;0.755736371090833;0.278270216399173;0.760624339801629;0.601248044510772;0.743697250037375;0.726961733259717;0.799954480654663;0.766338453590747;0.475113821603502;0.561158204264802;0.023798690885592;0.471955079156884;0.212015541785061;0.230945311967603;0.333835105532093;0.58976655958629;0.526595390493193;1;0.886055891297294;0.322823575721753;0.762724147717063;0.613050595197333;0.125412009351705;0.00447597460488337;0.301996533414278;0.368593763165252;0.335636149794727;-0.0356099383727829;0.256172039941451;0.0534419168786278;0.278008116243438;0.12494769938622;0.623004411736493;0.666745293109947
Estonian;0.842669721430698;0.793796355597656;0.518936250924799;0.831359112319037;0.876770815539447;0.850618568453983;0.662478753872427;0.509847521637872;0.836355950584833;0.383631826056833;0.879092517466104;0.779851372265325;0.881591557905809;0.350044900252032;0.881757824790757;0.709075398008058;0.816856836282824;0.809062024510208;0.839187737003816;0.838409031031766;0.568237249443068;0.667143910402343;0.100702806567376;0.529919050473431;0.278978181967662;0.211574294655356;0.428609309623962;0.650759225684047;0.603929713542298;0.886055891297294;1;0.341147009885523;0.814743252070805;0.644432731671324;0.157972514944196;0.0599479095274908;0.179404938285171;0.247947538109051;0.220879543703693;-0.0336215189848856;0.333411555556534;0.00910501210114166;0.340122390063447;0.17462378748463;0.709468379248248;0.78402054698704
Hungarian;0.38609284681977;0.333263191310127;0.255225952483355;0.325042889175176;0.390345799534063;0.29823796494835;0.287469056997742;0.241466597493679;0.34347713059957;0.177598109619395;0.373932838641322;0.0687519172691339;0.342090765385415;0.145196569940894;0.390474393701678;0.250713752198204;0.138917300654646;0.215507810178055;0.118823685551335;0.104131602672606;0.146273399337544;0.212280017242877;-0.034100220632508;0.00349950958484044;-0.01146739746151;-0.0206138545290765;0.0749535993851323;0.13255829187654;0.318225259668683;0.322823575721753;0.341147009885523;1;0.260017119345907;0.369345404918;0.0446751180498193;0.00272379599968564;0.296209966371233;0.0830204907840058;-0.018398751528245;-0.0293183552772986;0.182097587650094;-0.0270341959988802;0.0065341580092251;0.0537316598353877;0.349898417692819;0.310809380548905
Greek;0.750992998990947;0.669887112720201;0.562001023852066;0.700744255647786;0.735003078747092;0.795966087517167;0.506807317034505;0.439340364563429;0.661594015899309;0.46723397150538;0.731141313683689;0.806065193402153;0.637885861286421;0.401078048679848;0.609881973474054;0.39583483203754;0.743923065898796;0.79970098857312;0.823600071801016;0.790885995336445;0.628102802220714;0.721315474081795;0.177622128181838;0.590283417540686;0.375626537216922;0.31547356514113;0.518375244321017;0.713572836031277;0.521970015032107;0.762724147717063;0.814743252070805;0.260017119345907;1;0.573348184670522;0.226075062915694;0.0640020658485331;0.059720917257629;0.157334196399692;0.190706372851932;-0.0359921243888204;0.112047211670611;0.0378826009986912;0.363187772833793;0.0801511289575069;0.586230808407718;0.658558437143205
